140.657 36.478 46.71
69.1573 35.9805 109.2
153.671 -4.8676 73.33
124.613 10.952 35
246.101 -21.7725 10
131.554 -3.7122 30.07
292.135 -24.286 98.84
94.6049 21.5851 97.54
148.175 -6.7481 35
280.946 -44.4196 10
193.164 52.9188 26.97
130.932 -3.3787 10
187.504 -18.5856 26.82
288.165 -32.6309 19.56
277.652 7.1505 10
193.217 52.8738 15.18
193.27 52.7875 3.8
288.575 18.4274 17.21
333.328 -55.6638 35
130.079 -3.0049 27.5
125.523 9.7317 10.04
182.931 -24.0572 89.31
167.462 -16.0093 33.6
151.593 -3.9036 38.26
151.536 -3.88 10
341.332 -0.2857 10
286.937 6.7568 150.91
262.02 15.8882 47.92
65.0669 25.7772 35
293.047 -24.1648 187.52
139.28 -2.8653 63.95
151.456 -3.8028 6.11
147.967 -2.9523 7.31
289.505 -26.0986 71.55
141.821 32.4271 18.2
128.737 26.4734 14.33
121.87 7.5299 37.28
288.471 -30.8178 37.43
289.788 -33.3783 96
78.3369 40.7577 10
126.249 -49.4576 10
143.97 -4.6987 99.02
290.676 -19.7192 112.44
150.878 46.0355 112.98
126.628 8.0194 86.26
291.233 -21.2324 122.32
262.796 18.0638 69.67
180.947 -29.361 341.02
331.043 0.9158 10
166.567 -14.1679 35
184.434 -23.6477 13.64
263.672 -36.7486 10
147.546 -6.4736 75.57
121.668 11.9592 46.74
143.317 42.9042 93.02
121.36 20.7229 12.05
140.357 35.5798 54.86
147.091 -5.5012 209.21
292.811 -22.3901 21.1
184.544 -23.4695 10
126.904 1.1351 63.81
186.376 -15.0935 10
165.73 -10.8353 27.55
181.318 -20.9285 573.64
180.495 -24.0808 496.34
203.488 58.4798 205.1
256.43 14.827 34.98
333.213 -56.4856 100.75
101.216 -6.7531 10
126.178 0.8258 39.91
142.004 30.1856 43.18
129.011 -7.4527 135.2
146.952 47.7074 407.35
118.078 -9.8831 37.42
121.251 19.2414 10
66.3655 -27.2763 10
184.214 -23.8048 56.01
236.108 40.7243 26.24
183.664 -28.3363 56.39
126.586 -7.0232 372.25
184.979 -23.6308 10
184.231 -23.6848 10
184.383 -23.5638 10
141.497 28.4904 58.7
279.621 -0.9356 24.77
139.866 32.6219 121.79
69.1749 -25.7143 10
154.945 -7.4296 43.18
73.5024 39.4846 49.42
30.8785 -49.0906 20.85
127.705 -7.5874 10
262.131 16.6335 46.67
281.436 -8.3567 96.65
